John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Ueli Reber,"Universität Bern, University of Bern, Fabrikstrasse 8, 3008 Bern, Switzerland"
Thomas Häussler,"Universität Bern, University of Bern, Fabrikstrasse 8, 3008 Bern, Switzerland"
Peter Miltner,"FU Berlin, Garystr. 55, 14195 Berlin, Germany"
Barbara Pfetsch,"FU Berlin, Garystr. 55, 14195 Berlin, Germany"
Chiara Broccatelli,"The University of Glasgow, United Kingdom"
Tobias Roth,"Mannheim Centre for European Social Research, University of Mannheim, A5, 6, 68159 Mannheim, Germany"
Cassie McMillan,"Pennsylvania State University, University Park, PA, USA"
Diane Felmlee,"Pennsylvania State University, University Park, PA, USA"
D. Wayne Osgood,"Pennsylvania State University, University Park, PA, USA"
Miles Q. Ott,"Smith College, 44 College Lane, Northampton, MA, 01063, United States"
John M. Light,"Oregon Research Institute, 1776 Millrace Dr., Eugene, OR, 97403, United States"
Melissa A. Clark,"University of Massachusetts Medical School, 55 Lake Avenue North, Worcester, MA, 01655, United States"
Nancy P. Barnett,"Brown University, Box G-S121-5 Brown University Providence, RI, 02912, United States"
Eric Quintane,"University of Los Andes, School of Management, Colombia"
Zoltán Kmetty,"MTA-ELTE Peripato Research Group, Eotvos Lorand University Faculty of Social Sciences, H-1117, Budapest, Pázmány Péter sétány 1/a, Hungary"
Róbert Tardos,"MTA-ELTE Peripato Research Group, Eotvos Lorand University Faculty of Social Sciences, H-1117, Budapest, Pázmány Péter sétány 1/a, Hungary"
Fruzsina Albert,"Károli Gáspár University of the Reformed Church, H-1091, Budapest, Kálvin tér 9, Hungary"
Beata Dávid,"Hungarian Academy of Sciences, Centre for Social Sciences, Hungary"
Kate Eddens,"Department of Health, Behavior & Society, College of Public Health, University of Kentucky, United States"
Jesse M. Fagan,"Gatton College of Business and Economics, University of Kentucky, United States"
Ami R. Moore,"Department of Rehabilitation and Health Services, University of North Texas, 1155 Union Circle #311456, Denton, TX 76203, United States"
Victor R. Prybutok,"Toulouse Graduate School, University of North Texas, 1155 Union Circle #305459, Denton, TX 76203, United States"
Anh Ta,"Department of Information Technology & Decision Sciences, University of North Texas, Denton, TX 76203, United States"
Foster Amey,"Middle Tennessee State University, MTSU Box 10, Murfreesboro, TN 37132, United States"
Zhenkun Zhou,"State Key Lab of Software Development Environment, Beihang University, Beijing, China"
Ke Xu 0001,"State Key Lab of Software Development Environment, Beihang University, Beijing, China"
Jichang Zhao,"School of Economics and Management, Beihang University, Beijing, China"
Alessandro Spelta,"Center for Analysis, Decisions, and Society (CADS) – Human Technopole, Milano, Italy"
Andrea Flori,"Politecnico di Milano, Department of Management, Economics and Industrial Engineering, Italy"
Fabio Pammolli,"Politecnico di Milano, Department of Management, Economics and Industrial Engineering, Italy"
Eszter Berán,"Pázmány Péter Catholic University, Psychology Institute, Budapest, Mikszáth tér 1., 1088 Hungary"
Csaba Pléh,"Central European University, Budapest, Oktober 6 street 7, Budapest, 1051, Hungary"
Péter Soltész,"Pázmány Péter Catholic University, Psychology Institute, Budapest, Mikszáth tér 1., 1088 Hungary"
Anna Rácz,"Semmelweis University, Department of Psychiatry and Psychotherapy, Budapest, Balassa u. 6., 1083 Hungary"
Péter Kardos,"Bloomfield College, NJ, USA"
Pál Czobor,"Semmelweis University, Department of Psychiatry and Psychotherapy, Budapest, Balassa u. 6., 1083 Hungary"
Zsolt Unoka,"Semmelweis University, Department of Psychiatry and Psychotherapy, Budapest, Balassa u. 6., 1083 Hungary"
Neha Gondal,"Boston University, 100 Cummington Mall, Boston 02215, USA"
Lin Tao,"Department of Sociology, Beijing University, Peking University ,China"
Petr Matous,"Faculty of Engineering and Information Technologies, University of Sydney, Australia"
Peng Wang 0002,"Swinburne Business School, Swinburne University of Technology, Australia"
Rosanna Grassi,"Università di Milano-Bicocca, University of Milan Bicocca, Milan, Italy"
Francesco Calderoni,"Università Cattolica del Sacro Cuore and Transcrime, Milan, Italy"
Monica Bianchi,"Università Cattolica del Sacro Cuore, Milan, Italy"
Anna Torriero,"Università Cattolica del Sacro Cuore, Milan, Italy"
Brian Rubineau,"Department of Organizational Behavior, Desautels Faculty of Management, McGill University, Montreal, Quebec, Canada"
Yisook Lim,"Institute for Social Development Studies, Yonsei University, Seoul, Republic of Korea"
Michael Neblo,"Department of Political Science, Ohio State University, Columbus, OH, United States"
Henning Silber,"GESIS - Leibniz Institute for the Social Sciences, Mannheim, Germany"
Jette Schröder,"GESIS - Leibniz Institute for the Social Sciences, Mannheim, Germany"
Bella Struminskaya,"Utrecht University, Utrecht, Netherlands"
Volker Stocké,"University of Kassel, Kassel, Germany"
Michael Bosnjak,"ZPID – Leibniz Institute for Psychology Information, Trier, Germany"
Miranda Jessica Lubbers,"GRAFO, Department of Social and Cultural Anthropology, Universitat Autònoma de Barcelona, Autonomous University of Barcelona (UAB), Spain"
José Luis Molina,"GRAFO, Department of Social and Cultural Anthropology, Universitat Autònoma de Barcelona, Autonomous University of Barcelona (UAB), Spain"
Hugo Valenzuela-García,"GRAFO, Department of Social and Cultural Anthropology, Universitat Autònoma de Barcelona, Autonomous University of Barcelona (UAB), Spain"
Michael J. Brusco,"Florida State University, United States"
Vincenz Frey,"Centre for Research on Social Dynamics and Public Policy, Bocconi University, Italy"
Vincent Buskens,"Department of Sociology/ICS, Utrecht University, The Netherlands"
George Berry,"Department of Sociology, Cornell University, 368 Uris Hall, Ithaca, NY 14853, USA"
Patrick Park,"SONIC Research Group, Northwestern University, Frances Searle Building, Evanston, IL 60208, USA"
Michael Macy,"Department of Sociology, Cornell University, 368 Uris Hall, Ithaca, NY 14853, USA"
Mustafa Cosar Ünal,"Department of Political Science and Public Administration, Bilkent University, Ankara, Turkey"
Viviana Amati,"ETH Zurich, Department of Humanities, Social and Political Science, Weinbergstrasse 109, 8092 Zurich, Switzerland"
Daniele Mascia,"University of Bologna, Department of Management, Via Capo di Lucca 34, Bologna, Italy"
Manuel Fischer,"Eawag (Swiss Federal Institute of Aquatic Science and Technology), Überlandstrasse 133, 8600 Dübendorf, Switzerland, and University of Bern, Fabrikstrasse 8, 3012 Bern, Switzerland"
Frédéric Varone,"University of Geneva, Boulevard du Pont-d'Arve 40, 1205 Genève, Switzerland"
Roy Gava,"University of Geneva, Boulevard du Pont-d'Arve 40, 1205 Genève, Switzerland"
Pascal Sciarini,"University of Geneva, Boulevard du Pont-d'Arve 40, 1205 Genève, Switzerland"
László Lorincz,"Hungarian Academy of Sciences, Centre for Economic and Regional Studies, Institute of Economics, Tóth Kálmán utca 4., H-1097 Budapest, Hungary, and Corvinus University of Budapest, Fővám tér 8, H-1093 Budapest, Hungary"
Júlia Koltai,"Hungarian Academy of Sciences, Centre for Social Sciences, Computational Social Science – Research Center for Educational and Network Studies (CSS – RECENS), Tóth Kálmán utca 4., H-1097 Budapest, Hungary and Eötvös Loránd University of Sciences, Faculty of Social Sciences, Pázmány Péter sétány 1/A., H-1117 Budapest, Hungary"
Anna Fruzsina Gyor,"Corvinus University of Budapest, Institute of Sociology and Social Policy, Doctoral School of Sociology, 1093 Budapest, Fővám tér 8., Hungary"
Yanjun He,
Peter D. Hoff,"Department of Statistical Science, Duke University, USA"
João R. Daniel,"William James Center for Research, ISPA– Instituto Universitário, Rua Jardim do Tabaco, 34, 1149-041, Lisbon, Portugal"
António J. Santos,"William James Center for Research, ISPA– Instituto Universitário, Rua Jardim do Tabaco, 34, 1149-041, Lisbon, Portugal"
Brian E. Vaughn,"Human Development and Family Studies, Auburn University, 203 Spidle Hall, Auburn, AL, 36849, United States"
Weiwei Gu,"Department of Sociology, Tsinghua University, Beijing, 100084, PR China"
Jar-der Luo,"Department of Sociology, Tsinghua University, Beijing, 100084, PR China"
Jifan Liu,"Department of Sociology, Tsinghua University, Beijing, 100084, PR China"
Jia-Ping Huang,"China Center for Special Economic Zone Research, Shenzhen University, Nanhai Ave 3688, Shenzhen 518060, China"
Bernd Heidergott,"VU University Amsterdam, Vrije University Amsterdam, Department of Econometrics and Operations Research, De Boelelaan 1105, 1081 HV Amsterdam, The Netherlands"
Ines Lindner,"Tinbergen Institute, Gustav Mahlerplein 117, 1082 MS Amsterdam, The Netherlands"
Yuan Hsiao,"Department of Sociology, Department of Statistics, University of Washington, 211 Savery Hall, Box 353340, Seattle, WA, 98195-3340, United States"
Ching-Ling Cheng,"Department of Educational Psychology & Counseling, National Taiwan Normal University, 162 Heping E. Rd., Sec.1, Taipei, 10610, Taiwan"
Ya-Wen Chiu,"Learning Sciences & Human Development, University of Washington, Seattle, WA, 98195-3340, United States"
Hubert Buch-Hansen,"Department of Organization, Copenhagen Business School, Kilevej 14a, 2000 Frederiksberg, Denmark"
Lasse Folke Henriksen,"Department of Organization, Copenhagen Business School, Kilevej 14a, 2000 Frederiksberg, Denmark"
Ronald S. Burt,"University of Chicago, Booth School of Business, Chicago, IL, 60637, United States"
Saskia Metzler,"Max Planck Institute, Max-Planck-Institute for Informatics, Saarland Informatics Campus, Building E1.4, 66123 Saarbrücken, Germany"
Stephan Günnemann,"Technical University of Munich, Department of Informatics & Institute for Advanced Study, Boltzmannstr. 3, 85748 Garching, Germany"
Pauli Miettinen,"University of Eastern Finland, School of Computing, P.O. Box 1627, 70211 Kuopio, Finland"
Dante Contreras,"Department of Economics, Faculty of Economics and Business, Universidad de Chile, University of Chile, Santiago, Chile, Diagonal Paraguay 257, Santiago Centro, Santiago, Chile, 8330015, Santiago, Chile"
Gabriel Otero,"Department of Sociology, University of Amsterdam, Amsterdam, The Netherlands"
Juan D. Díaz,"Department of Management Control and Information Systems, Faculty of Economics and Business, Universidad de Chile, University of Chile, Chile"
Nicolás Suárez,"Department of Economics, Faculty of Economics and Business, Universidad de Chile, University of Chile, Santiago, Chile"
Christian Henning,"Institute of Agricultural Economics, University of Kiel, Kiel, Germany"
Christian Aßmann,"Chair of Statistics and Econometrics, University of Bamberg, Bamberg, Germany"
Johannes Hedtrich,"Institute of Agricultural Economics, University of Kiel, Kiel, Germany"
Julian Ehrenfels,"Techniker Krankenkasse, Hamburg, Germany"
Eva Krampe,"European Investment Bank, Luxembourg, Luxembourg"
Marçal Mora Cantallops,"University of Alcalá, Alcalá de Henares, Madrid, Spain"
Miguel-Ángel Sicilia,"University of Alcalá, Alcalá de Henares, Madrid, Spain"
Tijs A. van den Broek,"NIKOS, University of Twente, the Netherlands"
Ariana Need,"Department of Public Administration, University of Twente, the Netherlands"
Michel L. Ehrenhard,"NIKOS, University of Twente, the Netherlands"
Anna Priante,"NIKOS, University of Twente, the Netherlands"
Djoerd Hiemstra,"Data Science Group, University of Twente, the Netherlands"
Jeffrey Lienert,"National Human Genome Research Institute, National Institutes of Health, United States"
Laura M. Koehly,"National Human Genome Research Institute, National Institutes of Health, United States"
Felix Reed-Tsochas,"Saïd Business School, University of Oxford, United Kingdom"
Christopher Steven Marcum,"National Human Genome Research Institute, National Institutes of Health, United States"
Catherine T. Shea,"Tepper School of Business, Carnegie Mellon University, United States"
Julia Lee,"Ross School of Business, University of Michigan, United States"
Tanya Menon,"Fisher College of Business, The Ohio State University, United States"
Dongkyun Im,"Seoul National University, Republic of Korea"
Elaine M. Hernandez,"Department of Sociology, Indiana University – Bloomington, United States"
Erin Pullen,"Indiana University Network Science Institute, Indiana University – Bloomington, United States"
Jonathan Brauer,"Department of Criminal Justice, Indiana University – Bloomington, United States"
Hazem Krichene,"Graduate School of Simulation Studies, University of Hyogo, 7-1-28 Minatojima-minamimachi, Chuo-ku, Kobe, Hyogo 650-0047, Japan"
Yoshi Fujiwara,"Graduate School of Simulation Studies, University of Hyogo, 7-1-28 Minatojima-minamimachi, Chuo-ku, Kobe, Hyogo 650-0047, Japan"
Abhijit Chakraborty,"Graduate School of Simulation Studies, University of Hyogo, 7-1-28 Minatojima-minamimachi, Chuo-ku, Kobe, Hyogo 650-0047, Japan"
Yoshiyuki Arata,"Research Institute of Economy, Trade and Industry (RIETI), 1-3-1, Kasumigaseki Chiyoda-ku, 100-8901 Tokyo, Japan"
Hiroyasu Inoue,"Graduate School of Simulation Studies, University of Hyogo, 7-1-28 Minatojima-minamimachi, Chuo-ku, Kobe, Hyogo 650-0047, Japan"
Masaaki Terai,"RIKEN Advanced Institute for Computational Science, 7 Chome-1-26 Minatojima Minamimachi, Chuo, Kobe, Hyogo, Japan"
Stefano Tasselli,"Rotterdam School of Management, Erasmus University, Erasmus University Rotterdam, the Netherlands"
Kristin Lees Haggerty,"Northeastern University, 360 Huntington Avenue, Boston, MA 02115, United States of America"
John Griffith,"Northeastern University, 360 Huntington Avenue, Boston, MA 02115, United States of America"
Jean McGuire,"Northeastern University, 360 Huntington Avenue, Boston, MA 02115, United States of America"
Beth Molnar,"Northeastern University, 360 Huntington Avenue, Boston, MA 02115, United States of America"
Vincent Lorant,"Institute for Health and Society, Université catholique de Louvain, Catholic University of Louvain, Brussels, Belgium"
Mark Tranmer,"School of Social and Political Sciences, University of Glasgow, United Kingdom"
Jennifer Watling Neal,"Department of Psychology, Michigan State University, East Lansing, MI, United States"
Kristen J. Mills,"Department of Educational Studies, The Ohio State University, Columbus, Ohio, United States"
Jennifer Lawlor,"School of Information, University of Michigan, Ann Arbor, MI, United States"
Kathryn McAlindon,"Department of Psychology, Michigan State University, East Lansing, MI, United States"
Matthew Smith 0009,"Centre for Business Network Analysis, University of Greenwich Business School, Park Row, Greenwich, London, SE10 9LS, United Kingdom"
Sara Gorgoni,"Centre for Business Network Analysis, University of Greenwich Business School, Park Row, Greenwich, London, SE10 9LS, United Kingdom"
Bruce Cronin,"Centre for Business Network Analysis, University of Greenwich Business School, Park Row, Greenwich, London, SE10 9LS, United Kingdom"
Alon Bartal,"Dept. Industrial Engineering and Management, Ben Gurion University of the Negev, Beer Sheva, 84105, Israel"
Nava Pliskin,"Dept. Industrial Engineering and Management, Ben Gurion University of the Negev, Beer Sheva, 84105, Israel"
Gilad Ravid,"Dept. Industrial Engineering and Management, Ben Gurion University of the Negev, Beer Sheva, 84105, Israel"
Per Block,"Chair of Social Networks, ETH Zürich, ETH Zurich, Switzerland"
Jonathan Stewart,"Department of Statistics, Rice University, 6100 Main St, Houston, TX 77005, USA"
Michael Schweinberger,"Department of Statistics, Rice University, 6100 Main St, Houston, TX 77005, USA"
Michal Bojanowski,"Department of Quantitative Methods & Information Technology, Kozminski University, 57/59 Jagiellonska St, 03-301 Warsaw, Poland"
Martina Morris,"Department of Sociology, Department of Statistics, University of Washington, Seattle, WA 98195-4322, USA"
Daniela Stoltenberg,"Department of Communication, University of Münster, Germany"
Daniel Maier,"Institute for Media and Communication Studies, Free University Berlin, Germany"
Annie Waldherr,"Department of Communication, University of Münster, Germany"
Stéphane Helleringer,"Johns Hopkins University, United States"
jimi adams,"University of Colorado Denver, United States"
Sara Yeatman,"University of Colorado Denver, United States"
James Mkandawire,"Invest in Knowledge, Malawi"
Janet M. Box-Steffensmeier,"Vernal Riffe Professor of Political Science and Sociology, The Ohio State University, OH, United States"
Dino P. Christenson,"Associate Professor of Political Science, Boston University, OH, United States"
Jason W. Morgan,"Vice President, Behavioral Intelligence at Aware, and Visiting Scholar in Political Science, The Ohio State University, United States"
Giancarlo Ragozini,"Dept. of Political Science, University of Naples Federico II, Italy"
Maria Prosperina Vitale,"Dept. of Political and Social Studies, University of Salerno, Via Giovanni Paolo II, n. 132, IT-84084 Fisciano, SA, Italy"
Mark M. Fredrickson,"Department of Statistics, University of Michigan, 1085 South University Ave, Ann Arbor, MI 48109, United States"
Yuguo Chen,"Department of Statistics, University of Illinois at Urbana-Champaign, 725 South Wright Street, Champaign, IL 61820, United States"
Nicholas M. Harrigan,"Department of Sociology, Macquarie University, Australia"
Filip Agneessens,"Department of Sociology and Social Research, University of Trento, Italy"
Jürgen Lerner,"Department of Computer and Information Science, University of Konstanz, Box 67, 78457 Konstanz, Germany"
Alessandro Lomi,"Institute of Computational Science, University of Italian Switzerland, Lugano, Switzerland"
Daniel S. Halgin,"Department of Management, University of Kentucky, Lexington, KY, 40506, USA"
Zhi Huang,"Department of Management, University of Kentucky, Lexington, KY, 40506, USA"
Mark Wittek,"Institute of Sociology and Social Psychology, University of Cologne, Germany"
Clemens Kroneberg,"Institute of Sociology and Social Psychology, University of Cologne, Germany"
Kathrin Lämmermann,"Institute of Sociology and Social Psychology, University of Cologne, Germany"
Dorottya Kisfalusi,"Institute for Sociology Centre for Social Sciences, Hungarian Academy of Sciences, Hungary"
Judit Pál,"MTA TK ‘Lendület' Research Center for Educational and Network Studies (RECENS), Hungary"
Zsófia Boda,"MTA TK ‘Lendület' Research Center for Educational and Network Studies (RECENS), Hungary"
Travis G. Tatum,"UCD School of Sociology, D419 Newman Building, Univeristy College Dublin, Belfield, Dublin 4, Ireland"
Thomas U. Grund,"UCD School of Sociology, D419 Newman Building, Univeristy College Dublin, Belfield, Dublin 4, Ireland"
Rozemarijn van der Ploeg,"Department of Sociology, University of Groningen, Groningen, the Netherlands"
René Veenstra,"Department of Sociology, University of Groningen, Groningen, the Netherlands"
Nejat Arinik,"Laboratoire Informatique d'Avignon LIA EA 4128, Avignon, France"
Rosa Figueiredo 0001,"Laboratoire Informatique d'Avignon LIA EA 4128, Avignon, France"
Vincent Labatut,"Laboratoire Informatique d'Avignon LIA EA 4128, Avignon, France"
Zachary P. Neal,"Michigan State University, 316 Physics Road, East Lansing, MI 48824, United States"
Jialin Hua,"Beijing Key Lab of Traffic Data Analysis and Mining, Beijing Jiaotong University, Beijing 100044, China"
Miin-Shen Yang,"Department of Applied Mathematics, Chung Yuan Christian University, Chung-Li 32023, Taiwan"
Christoph Stadtfeld,"Chair of Social Networks, ETH Zürich, ETH Zurich, Switzerland"
Károly Takács,"The Institute for Analytical Sociology, Linköping University, Sweden"
András Vörös 0002,"Chair of Social Networks, ETH Zürich, ETH Zurich, Switzerland"
Matthew Hamilton,"School of Environment and Natural Resources, The Ohio State University, 2021 Coffey Road, Columbus, OH 43210, USA"
Jacob Hileman,"Stockholm Resilience Centre, Stockholm University, Kräftriket 2B, SE-10691, Stockholm, Sweden"
Örjan Bodin,"Stockholm Resilience Centre, Stockholm University, Kräftriket 2B, SE-10691, Stockholm, Sweden"
Barbara B. Brewer,"The University of Arizona, United States"
Kathleen M. Carley,"Carnegie Mellon University, United States"
Marge M. Benham-Hutchins,"Texas A&M University at Corpus Christi, United States"
Judith A. Effken,"The University of Arizona, United States"
Jeffrey Reminga,"Carnegie Mellon University, United States"
Lea-Maria Löbel,"German Institute for Economic Research (DIW) Berlin, Mohrenstraße 58, 10117 Berlin, Germany"
Nyi Nyi Htwe,"Graduate School for International Development and Cooperation, Hiroshima University, 1-5-1 Kagamiyama, Higashi-Hiroshima, Hiroshima 739-8529, Japan"
Seunghoo Lim,"Graduate School of International Relations, International University of Japan, 777 Kokusai-cho, Minami Uonuma-shi, Niigata, 949-7277, Japan"
Makoto Kakinaka,"Graduate School for International Development and Cooperation, Hiroshima University, 1-5-1 Kagamiyama, Higashi-Hiroshima, Hiroshima 739-8529, Japan"
Nicola Mirc,"TSM-Research, Université Toulouse Capitole, CNRS, 2 rue du Doyen Gabriel Marty, 31000, Toulouse, France"
Andrew Parker 0003,"University of Exeter Business School, Rennes Drive, Exeter, EX4 4PU, United Kingdom"
Spiro Maroulis,"Arizona State University, Phoenix, AZ, United States"
Daniel Diermeier,"University of Chicago, Chicago, IL, United States"
Muhammad Azfar Nisar,"Lahore University of Management and Sciences, Lahore, Pakistan"
Claude S. Fischer,"University of California - Berkeley, United States"
Shira Offer,"Bar-Ilan University, Ramat Gan, Israel"
Skyler J. Cranmer,"Carter Phillips and Sue Henry Associate Professor of Political Science, The Ohio State University, 2140 Derby Hall, 154 North Oval Mall, Columbus, OH 43210 United States"
Bruce A. Desmarais,"DeGrandis-McCourtney Early Career Professor of Political Science, The Pennsylvania State University, 203 Pond Lab, University Park, PA 16802, United States"
Benjamin W. Campbell,"Data Scientist at CoverMyMeds and Visiting Scholar in Political Science, The Ohio State University, OH, United States"
Sabine De Moor,"Ghent University, Institute for International Research on Criminal Policy (IRCP) Universiteitstraat, 49000, Ghent, Belgium"
Christophe Vandeviver,"Ghent University, Institute for International Research on Criminal Policy (IRCP) Universiteitstraat, 49000, Ghent, Belgium"
Tom Vander Beken,"Ghent University, Institute for International Research on Criminal Policy (IRCP) Universiteitstraat, 49000, Ghent, Belgium"
Cohen R. Simpson,"Oxford Internet Institute, University of Oxford, United Kingdom"
Carl Nordlund,"The Institute for Analytical Sociology, Linköping University, S-601 74 Norrköping, Sweden"
John Ternovski,"Yale University, New Haven, CT 06520-8209, USA"
Taha Yasseri,"Oxford Internet Institute, University of Oxford, 1 St Giles, Oxford OX1 3SJ, UK"
Ales Ziberna,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva ploščad 5, 1000 Ljubljana, Slovenia"
Robert Panitz,"Heidelberg University, Heidelberg, Germany"
Johannes Glückler,"Heidelberg University, Heidelberg, Germany"
Valerio Leone Sciabolazza,"Department of Business and Economics, University of Naples, Parthenope, Italy"
Raffaele Vacca,"Department of Sociology and Criminology & Law, University of Florida, USA"
Christopher McCarty,"College of Liberal Arts and Sciences, University of Florida, United States"
Annatina Aerne,"University of St. Gallen, Müller-Friedberg-Strasse 8, 9000, St.Gallen, Switzerland"
Ko Kuwabara,"INSEAD Asia, 1 Ayer Rajah Avenue, 138676, Singapore"
Xi Zou,"Nanyang Business School, Singapore"
Brandy Aven,"Carnegie Mellon University, United States"
Claudius Hildebrand,"Spencer Stuart, United States"
Sheena Iyengar,"Columbia University, United States"
Mayank Aggarwal,"Business Policy Area, Indian Institute of Management, Vastrapur, Ahmedabad, Gujarat 380015, India"
Anindya S. Chakrabarti,"Economics Area, Indian Institute of Management, Vastrapur, Ahmedabad, Gujarat 380015, India"
Pritha Dev,"Economics Area, Indian Institute of Management, Vastrapur, Ahmedabad, Gujarat 380015, India"
Mark Patrick Roeling,"Department of Statistics, University of Oxford, 24-29 St Giles', OX1 3LB, United Kingdom"
Geoff K. Nicholls,"Department of Statistics, University of Oxford, 24-29 St Giles', OX1 3LB, United Kingdom"
Drazen Cepic,"University of Zadar, Zadar, Croatia"
Zeljka Tonkovic,"University of Zadar, Zadar, Croatia"
Li-Ting Wang,"Department of Physical Education, National Taiwan Normal University, Taiwan, ROC"
Martin G. Everett,"Mitchell Centre for Social Network Analysis, School of Social Sciences, University of Manchester, Arthur Lewis Building, Bridgeford Street, Manchester, M13 9PL, UK"
Stephen P. Borgatti,"University of Kentucky, United States"
Giorgia Di Tommaso,"Department of Computer Science, Sapienza University of Rome, Italy"
Mauro Gatti,"Department of Management, Sapienza University of Rome, Italy"
Michela Iannotta,"Department of Management, Sapienza University of Rome, Italy"
Ajay Mehra,"LINKS Center for Social Network Analysis, Gatton College of Business and Economics, University of Kentucky"
Giovanni Stilo,"Department of Information Engineering, Computer Science and Mathematics, University of L'Aquila"
Paola Velardi,"Department of Computer Science, Sapienza University of Rome, Italy"
Diliara Valeeva,"CORPNET, Amsterdam Institute for Social Science Research, University of Amsterdam, Nieuwe Achtergracht 166, 1018WV, Amsterdam, the Netherlands"
Eelke M. Heemskerk,"CORPNET, Amsterdam Institute for Social Science Research, University of Amsterdam, Nieuwe Achtergracht 166, 1018WV, Amsterdam, the Netherlands"
Frank W. Takes,"CORPNET, Amsterdam Institute for Social Science Research, University of Amsterdam, Nieuwe Achtergracht 166, 1018WV, Amsterdam, the Netherlands"
Helge Giese,"Department of Psychology, University of Konstanz, Konstanz, Germany"
F. Marijn Stok,"Department of Psychology, University of Konstanz, Konstanz, Germany"
Britta Renner,"Department of Psychology, University of Konstanz, Konstanz, Germany"
Georg Wolff,"Institute of Economics and Business Administration, University of Freiburg, Germany"
Michael Wältermann,"Institute of Economics and Business Administration, University of Freiburg, Germany"
Olaf N. Rank,"Institute of Economics and Business Administration, University of Freiburg, Germany"
Robert W. Krause,"Institute for Analytical Sociology, Linköping University, Sweden"
Mark Huisman,"Department of Sociology, University of Groningen, The Netherlands"
Christian Steglich,"Department of Sociology, University of Groningen, The Netherlands"
Tom A. B. Snijders,"Department of Sociology, University of Groningen, The Netherlands"
Jeroen Bruggeman,
Meredith W. Francis,"Jack, Joseph and Morton Mandel School of Applied Social Sciences, Case Western Reserve University, 10900 Euclid Ave, Cleveland, OH 44106, USA"
Mariarosaria Lombardi,"Department of Economics, University of Foggia, Via R. Caggese, 1 – 71121 Foggia, Italy"
Antonio Lopolito,"Department of Science of Agriculture, Food and Environment (SAFE), University of Foggia, Via Napoli, 25 – 71122 Foggia, Italy"
Angela Mariuccia Andriano,"Department of Economics, University of Foggia, Via R. Caggese, 1 – 71121 Foggia, Italy"
Maurizio Prosperi,"Department of Science of Agriculture, Food and Environment (SAFE), University of Foggia, Via Napoli, 25 – 71122 Foggia, Italy"
Antonio Stasi,"Department of Science of Agriculture, Food and Environment (SAFE), University of Foggia, Via Napoli, 25 – 71122 Foggia, Italy"
Enrica Iannuzzi,"Department of Economics, University of Foggia, Via R. Caggese, 1 – 71121 Foggia, Italy"
Pete Jones,"The University of Manchester, United Kingdom"
Eithne Quinn,"The University of Manchester, United Kingdom"
Min Fan,"School of Mathematics and Statistics, Shandong University, Weihai 264209, China"
Zhulou Cao,"School of Mathematics and Statistics, Shandong University, Weihai 264209, China"
Jieting Cheng,"Department of Social Work, Shandong University, Weihai 264209, China"
Xingqin Qi,"School of Mathematics and Statistics, Shandong University, Weihai 264209, China"
Xin Lu 0002,"School of Business, Central South University, Changsha, 410083, China"
Petter Holme,"Tokyo Tech World Research Hub Initiative (WRHI), Institute of Innovative Research, Tokyo Institute of Technology, Nagatsuta-cho 4259, Midori-ku, Yokohama, Kanagawa, 226-8503, Japan"
James A. Coutinho,"Faculty of Business and Law, Swinburne University of Technology, Melbourne, Australia"
Tomas Diviak,"University of Manchester, United Kingdom"
David A. Bright,"Flinders University, Australia"
Johan H. Koskinen,"University of Melbourne, Australia"
Daniela Stockmann,"Hertie School of Governance, Friedrichstrasse 180, 10117, Berlin, Germany"
Keri Hartman,"Hertie School of Governance, Friedrichstrasse 180, 10117, Berlin, Germany"
Ting Luo,"Department of History, Politics and Philosophy, Manchester Metropolitan University, Manchester M15 6LL, UK"
Yen-Sheng Chiang,"Institute of Sociology, Academia Sinica, Taiwan, ROC"
Yen-Wen Chen,"School of Occupational Therapy, College of Medicine, National Taiwan University, Taiwan, ROC"
Wen-Chi Chuang,"Department of Sociology, National Chengchi University, Taiwan, ROC"
Chyi-In Wu,"Institute of Sociology, Academia Sinica, Taiwan, ROC"
Chien-Te Wu,"School of Occupational Therapy, College of Medicine, National Taiwan University, Taiwan, ROC"
Francis Lee,"Department of Sociology, University of California - Irvine, United States"
Jesper J. Rözer,"Dutch Institute for Social Science Research (SCP), The Hague, The Netherlands"
Bas Hofstra,"Graduate School of Education, Stanford University, USA"
Matthew E. Brashears,"Department of Sociology, University of South Carolina, USA"
Beate Volker,"Department of Human Geography, Utrecht University, The Netherlands"
Jerome R. Mayaud,"Spare Labs, Canada"
Sze-Chuan Suen,"University of Southern California Viterbi School of Engineering, Department of Industrial & Systems Engineering, United States"
Milind Tambe,"Harvard University, Center for Research in Computation and Society (CRCS), United States"
Eric Rice,"University of Southern California Suzanne Dworak-Peck School of Social Work, United States"
Beau Dabbs,"Department of Statistics, Carnegie Mellon University, Pittsburgh, PA, United States"
Samrachana Adhikari,"Department of Population Health, New York University School of Medicine, New York, NY, United States"
Tracy M. Sweet,"Department of Human Development and Quantitative Methodology, University of Maryland - College Park, College Park, MD, United States"
Isabella Gollini,"University College Dublin, Ireland"
Alberto Caimo,"Technological University Dublin, Ireland"
Paolo Campana,"University of Cambridge, UK"
Lukas Norbutas,"Utrecht University, Department of Sociology, Utrecht, the Netherlands"
